,Identifier
240944,7215900039192709121
240945,7086098831326054401
240946,7084690321468443418
240947,7088324649854995227
240948,6928950845375531781
240949,6862093420660263685
240950,6914003735257631493
240951,6771361259527882753
240952,7053092457873034030
240953,7037337885091055617
240954,7030852971684514566
240955,7092016404437764910
240956,6916333352710671106
240957,6906746716566129409
240958,6907158046057810689
240959,6908197712081079042
240960,6916105235727452930
240961,6916128369608329986
240962,6906005028318759681
240963,6908071040590269186
240964,6903074141856025346
240965,6919499072768330498
240966,6734161756622523138
240967,6669784664011557637
240968,6781556202888235009
240969,6704080879184038661
240970,7088388605009218306
240971,7009250319901166337
240972,6843967296809995009
240973,7049366689104071425
240974,7045383489335642881
240975,7091055847261981441
240976,7068664190877190914
240977,7051235754730965762
240978,7054988972644518657
240979,7053497980506163973
240980,7075459064368532226
240981,6994477111301950210
240982,7041569266579131142
240983,7049082604846402306
240984,7048196863954111234
240985,7094702428339145473
240986,7057124540765326081
240987,6906256640929319681
240988,7073424757592476418
240989,6897246457041128193
240990,7050859798765931265
240991,7081308663872277249
240992,7031219278216989441
240993,7096334936583490306
240994,7097205356875172635
240995,6680048042722298630
240996,6908735699676367618
240997,6916453315283176194
240998,6952159799387736837
240999,6663145683849202437
241000,6972513534554950401
241001,7140344332992989186
241002,6914351537242688261
241003,6819758039197895430
241004,6913876774833113862
241005,7134714378909124609
241006,7249458703392180226
241007,7092466860439898886
241008,7093950206286646021
241009,7091803498848848646
241010,7066169488701392898
241011,7071220890691816219
241012,7096873319516949275
241013,7088617510961941275
241014,7045525406573333275
241015,7063885555943148315
241016,7093891036178565915
241017,7093612857459362587
241018,7073134940912618266
241019,7088912662259600155
241020,7086471669489191706
241021,7070479006290103067
241022,7063425065869724443
241023,7063495979701439259
241024,7069351802923469595
241025,7091314923742219035
241026,7046695409707698971
241027,7101897255132629787
241028,7059052442339511066
241029,7049619513892948762
241030,7064217227196680986
241031,7050581750409693957
241032,7085657290216377114
241033,7086792101215669018
241034,7063869424155118363
241035,7055936518342380315
241036,7055603344412691226
241037,7062388528994323227
241038,7092320509798402843
241039,7075357412479290138
241040,7064980646678121242
241041,7091692201477999386
241042,7063061212438792986
241043,7088760824361159450
241044,6870211840517867521
241045,6911964543858051841
241046,6874514671932623617
241047,6911669626741017346
241048,6916575143863143170
241049,6812598878349675265
241050,6813633366177483521
241051,7088897409568212994
241052,6704982426449348610
241053,277116366124675072
241054,6536064439924460290
241055,6935452011454401281
241056,6737125893459725057
241057,7005122446399392538
241058,6782499776106695426
241059,7090812739173567258
241060,6950349458768922626
241061,6902376914195843074
241062,6911754451258755842
241063,6909470506831874821
241064,6906527750727731970
241065,6955558693601889029
241066,6916460558942358274
241067,6998179182463290118
241068,6998925339476953857
241069,6919234306984512257
241070,6917304719178287873
241071,6907913714880498433
241072,6912810398240508674
241073,6894708473716656898
241074,7053903628729387782
241075,6906589965296143105
241076,6907165129981430530
241077,6916400653002984193
241078,6916458096151825153
241079,6812587980310498049
241080,6869588180945996546
241081,6893798934590900993
241082,7002952954026133505
241083,7109537226031138817
241084,6862858040568186882
241085,6821961827379841798
241086,7037832818554145542
241087,6852345110299003654
241088,6997513191790807042
241089,7068403974839569157
241090,6983347527823231771
241091,6983396829635398405
241092,6695686143045946113
241093,7019329388290378498
241094,6910025583405714177
241095,6918713692951415554
241096,6958243460273031937
241097,6561491593650670337
241098,6774270186997517057
241099,6918274004335987458
241100,6986479628294638362
241101,6904864633887230722
241102,7063769074295163674
241103,6870060552568244993
241104,6964444016805022465
241105,6857415590783159041
241106,6897507929436523265
241107,6826681610004334594
241108,6826681322971334658
241109,6826681531738621953
241110,6828034233982781441
241111,6826681394945591298
241112,7088756420467788549
241113,6816844318687513349
241114,7078271949377489670
241115,7032501992639548165
241116,7027053959710198534
241117,6835337628112423685
241118,7006659944229505798
241119,7000794775536388869
241120,6995514071764273925
241121,7101647141344430854
241122,7085838101549042438
241123,6957883925930756869
241124,6683850703137557254
241125,6696349275233782534
241126,6914976417461619457
241127,7077974332881881883
241128,6935057774007027713
241129,6800922025968797697
241130,6915014894337182465
241131,6876618255809760001
241132,6992206678150171419
241133,6996300446788881178
241134,6703163370545088514
241135,6802027831300720641
241136,6743837130583296769
241137,6609578870561573633
241138,6704971100578646017
241139,5000000001445463652
241140,6590607387718060802
241141,6590962962234607621
241142,6911462680196942594
241143,6893763952866495234
241144,6820537973138786305
241145,6904617324968446722
241146,6915343326942169858
241147,7019498780017838874
241148,6818840363466328834
241149,6916127102144154369
241150,6905042867991923457
241151,6681490901488995073
241152,6815063054569442050
241153,7083114698362948379
241154,6899882160967207681
241155,7098904957499624218
241156,7097095378842961922
241157,7097399804330543106
241158,6980307397818452763
241159,7033723329747880730
241160,7074013014248229659
241161,6952828306169449217
241162,6814366645855832833
241163,7093861369649335066
241164,6566100898446054400
